=== Environment Info ===
Job ID:    404832
Node:      dgx-09
GPU:       NVIDIA H800
Python:    /home/hxiaoap/.conda/envs/mia/bin/python
Version:   Python 3.10.20
PyTorch: 2.2.0+cu121, CUDA: 12.1

=== Probe Training (Pooling Ablation) ===
Start time: 2026-05-03 15:16:23

>>> Processing pooling=all_tokens
--- Linear probe ---
Epoch 001 | Train Loss: 0.3997 Val Loss: 0.2290 Val Acc: 0.8812
Epoch 002 | Train Loss: 0.1737 Val Loss: 0.1477 Val Acc: 0.9540
Epoch 003 | Train Loss: 0.1382 Val Loss: 0.1250 Val Acc: 0.9579
Epoch 004 | Train Loss: 0.1202 Val Loss: 0.1156 Val Acc: 0.9540
Epoch 005 | Train Loss: 0.1081 Val Loss: 0.1259 Val Acc: 0.9502
Epoch 006 | Train Loss: 0.1051 Val Loss: 0.1041 Val Acc: 0.9598
Epoch 007 | Train Loss: 0.0968 Val Loss: 0.0988 Val Acc: 0.9636
Epoch 008 | Train Loss: 0.0976 Val Loss: 0.1157 Val Acc: 0.9521
Epoch 009 | Train Loss: 0.1002 Val Loss: 0.0933 Val Acc: 0.9617
Epoch 010 | Train Loss: 0.0910 Val Loss: 0.0896 Val Acc: 0.9617
Epoch 011 | Train Loss: 0.0880 Val Loss: 0.1274 Val Acc: 0.9464
Epoch 012 | Train Loss: 0.0884 Val Loss: 0.0862 Val Acc: 0.9693
Epoch 013 | Train Loss: 0.0888 Val Loss: 0.0831 Val Acc: 0.9693
Epoch 014 | Train Loss: 0.0818 Val Loss: 0.0838 Val Acc: 0.9674
Epoch 015 | Train Loss: 0.0814 Val Loss: 0.0818 Val Acc: 0.9732
Epoch 016 | Train Loss: 0.0806 Val Loss: 0.0821 Val Acc: 0.9713
Epoch 017 | Train Loss: 0.0802 Val Loss: 0.0825 Val Acc: 0.9751
Epoch 018 | Train Loss: 0.0807 Val Loss: 0.0961 Val Acc: 0.9598
Epoch 019 | Train Loss: 0.0792 Val Loss: 0.0954 Val Acc: 0.9598
Epoch 020 | Train Loss: 0.0758 Val Loss: 0.0805 Val Acc: 0.9713
Epoch 021 | Train Loss: 0.0760 Val Loss: 0.0884 Val Acc: 0.9674
Epoch 022 | Train Loss: 0.0761 Val Loss: 0.0832 Val Acc: 0.9693
Epoch 023 | Train Loss: 0.0763 Val Loss: 0.0822 Val Acc: 0.9693
Epoch 024 | Train Loss: 0.0741 Val Loss: 0.0789 Val Acc: 0.9732
Epoch 025 | Train Loss: 0.0741 Val Loss: 0.0792 Val Acc: 0.9732
Epoch 026 | Train Loss: 0.0738 Val Loss: 0.0799 Val Acc: 0.9693
Epoch 027 | Train Loss: 0.0736 Val Loss: 0.0798 Val Acc: 0.9693
Epoch 028 | Train Loss: 0.0732 Val Loss: 0.0813 Val Acc: 0.9693
Epoch 029 | Train Loss: 0.0730 Val Loss: 0.0810 Val Acc: 0.9693
